routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9NYV8yXzA1MzI=,1644809482.439476,H1222,20,1644789600,21360,0,19,26
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA1NDA=,1644809482.4395432,H1222,30,1644789600,23100,0,33,40
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA0NTA=,1644809497.794309,H1210,30,1644789600,19800,77,35,40
VHJpcDpIU0w6NDQyMV8yMDIyMDIxNF9NYV8yXzA0NTc=,1644809528.5957325,H1914,421,1644789600,19500,426,31,34
VHJpcDpIU0w6MjQzNktfMjAyMjAyMTRfTWFfMV8wNTMy,1644809528.5962048,H1911,436K,1644789600,20100,0,1,45
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA1NDA=,1644809528.5963411,H1210,30,1644789600,23340,0,35,40
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA1NDA=,1644809528.596447,H1222,30,1644789600,23100,0,33,40
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9NYV8yXzA1MDM=,1644809543.9929864,H1914,40,1644789600,19680,356,20,23
VHJpcDpIU0w6MjIxM05fMjAyMjAyMTFfTWFfMl8wNTAw,1644809543.9930246,H1914,213N,1644789600,20160,60,27,32
VHJpcDpIU0w6MTA2M18yMDIyMDIxMV9NYV8yXzA1MTM=,1644809543.9930546,H1914,63,1644789600,20460,0,29,34
VHJpcDpIU0w6NDQzMU5fMjAyMjAyMTRfTWFfMl8wNDUw,1644809543.9930997,H1914,431N,1644789600,20340,280,56,59
VHJpcDpIU0w6MjIwMF8yMDIyMDIxMV9NYV8yXzA0NTc=,1644809543.993158,H1914,200,1644789600,20400,289,30,33
VHJpcDpIU0w6NDQyMV8yMDIyMDIxNF9NYV8yXzA1MTk=,1644809543.9932098,H1914,421,1644789600,20820,46,31,34
VHJpcDpIU0w6MjMyMV8yMDIyMDIxMV9NYV8yXzA1MDc=,1644809543.9932446,H1914,321,1644789600,20820,218,41,44
VHJpcDpIU0w6NDQxNV8yMDIyMDIxNF9NYV8yXzA1MTM=,1644809543.9932761,H1914,415,1644789600,21180,114,43,46
VHJpcDpIU0w6MjM0NU5fMjAyMjAyMTFfTWFfMl8wNTA1,1644809543.9933128,H1914,345N,1644789600,21120,439,50,53
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9NYV8yXzA1MzM=,1644809543.9933326,H1914,40,1644789600,21600,0,20,23
VHJpcDpIU0w6MjUxMF8yMDIyMDIxMV9NYV8xXzA1MTM=,1644809543.9933538,H1379,510,1644789600,19860,289,13,27
VHJpcDpIU0w6MTUwMF8yMDIyMDIxMV9NYV8xXzA1MTQ=,1644809543.9933736,H1379,500,1644789600,20520,25,19,27
VHJpcDpIU0w6MjUxMF8yMDIyMDIxMV9NYV8xXzA1MzE=,1644809543.9933915,H1379,510,1644789600,21000,38,13,27
VHJpcDpIU0w6MTUwMF8yMDIyMDIxMV9NYV8xXzA1Mjg=,1644809543.9934108,H1379,500,1644789600,21420,98,19,27
VHJpcDpIU0w6MTAyNV8yMDIyMDIxMV9NYV8yXzA1MjQ=,1644809543.9934437,H1231,25,1644789600,20520,113,19,22
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8xXzA1MzA=,1644809543.9934883,H1234,21,1644789600,19920,22,1,15
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9NYV8yXzA1MTI=,1644809543.993523,H1210,20,1644789600,20340,50,21,26
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9NYV8yXzA1MzI=,1644809543.9935405,H1210,20,1644789600,21600,98,21,26
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA1MjQ=,1644809543.9935882,H1210,30,1644789600,22200,151,35,40
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9NYV8yXzA1MTI=,1644809543.993617,H1222,20,1644789600,20100,22,19,26
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9NYV8yXzA1MzI=,1644809543.9936345,H1222,20,1644789600,21360,118,19,26
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA1MjQ=,1644809543.9936817,H1222,30,1644789600,21960,169,33,40
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8yXzA1MzY=,1644809543.9936996,H1025,21,1644789600,20160,-240,0,16
VHJpcDpIU0w6MTAyMl8yMDIyMDIxMV9NYV8xXzA1MjU=,1644809543.9937131,H1025,22,1644789600,20160,67,9,18
VHJpcDpIU0w6MjE2NEFfMjAyMjAyMTFfTWFfMl8wNTI5,1644809543.9937427,E2332,164A,1644789600,21240,58,21,25
